Título,Preço (R$),Avaliação,Bairro,Imóvel,Hóspedes,Camas,Quartos,Banheiros,Cozinha,Wi-Fi,Piscina
Duplex Cobertura - Oficina Rooftop,334,4.84,Vila Madalena,Apartamento inteiro,4,2,0,1,Tem,Tem,Tem
CantinhodaCléa-Liberdade/S.Joaquim-Garagem/Wi-Fi,69,4.97,Liberdade,Quarto inteiro,1,1,1,1,Tem,Não tem,Não tem
CHARMOSO FLAT PROXIMO DA RUA OSCAR FREIRE,228,4.21,Pinheiros,Apartamento inteiro,4,2,1,1,Tem,Tem,Tem
STUDIO LONDON SP COM PISICINA INIFINITY -610B,232,4.47,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Suíte mobiliada c/ copa e Wi-Fi próx ao hosp SP,65,,Vila Clementino,Suíte de visitas inteira,2,1,1,0,Não tem,Tem,Não tem
Loft top no coração da Vila Olimpia,149,,Vila Olímpia,Loft inteiro,2,1,0,1,Tem,Tem,Tem
Apartment - Vila Madalena Subway,55,4.91,Vila Anglo Brasileira,Apartamento inteiro,4,4,2,2,Tem,Tem,Não tem
Apartamento Mobiliado e Completo com Smart TV!,159,4.72,Sé,Condomínio inteiro,2,1,1,1,Tem,Tem,Tem
Estúdio Mobiliado com Vista Unica do 24º Andar.,105,4.78,Sé,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
CasApp Studio Novinho no Coração de São Paulo 808,111,4.72,Bela Vista,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Apartamento Moderno Mobiliado com Cooktop e Wi-Fi,85,,Santa Efigênia,Condomínio inteiro,2,1,0,1,Tem,Tem,Tem
STUDIO MARINE  - SUPER CHARMOSO  - CONSOLAÇÃO,120,4.87,República,Flat inteiro,2,2,0,1,Tem,Tem,Tem
Itaim Bibi Address Faria Lima Casal 3,130,4.67,Itaim Bibi,Flat inteiro,2,1,1,1,Não tem,Tem,Tem
Flat Paulista 540,128,4.76,Jardim Paulista,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Apt dentro de um verdadeiro Resort no centro de SP,140,5.0,Brás,Condomínio inteiro,4,2,2,2,Tem,Tem,Não tem
STD 1912. BEM-VINDO AO NOVO CENTRO DE SÃO PAULO!,104,4.85,República,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
Apto inteiro prx Metrô M.Deodoro. Melhor preço.,111,4.97,Campos Elíseos,Apartamento inteiro,4,1,1,1,Tem,Tem,Não tem
Loft Urbano no coração da Berrini,169,4.8,Morumbi,Apartamento inteiro,4,1,1,2,Tem,Tem,Tem
300 metros METRO SACOMAN - LINHA VERDE,60,4.96,Vila Firmiano Pinto,Quarto inteiro,2,2,1,1,Tem,Tem,Não tem
Apartamento próximo a USP em Pinheiros,144,4.88,Pinheiros,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
"Lindo AP, 73m2 próximo ao metrô Saúde!",120,,Saúde,Apartamento inteiro,4,2,2,1,Tem,Tem,Não tem
Suíte mobiliada c/ copa e Wi-Fi próx ao hosp SP,65,,Vila Clementino,Suíte de visitas inteira,2,1,1,0,Não tem,Tem,Não tem
"Flat/cobertura, o mais charmoso dos Jardins II",339,4.69,Cerqueira César,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Quartos 3 individuais em Ap centro SP com wifi,54,,Centro,Quarto inteiro,1,1,4,2,Tem,Tem,Não tem
Quarto Premium Moema Congonhas-Amarelo,60,5.0,Indianópolis,Quarto inteiro,2,1,1,2,Tem,Tem,Não tem
São Paulo Centro,73,,República,Apartamento inteiro,2,1,1,1,Tem,Tem,Não tem
BRÁS - Apto Completo - 16ºandar - Metrô Pedro II,110,4.87,Brás,Apartamento inteiro,2,1,1,1,Tem,Tem,Não tem
Coliving Petit Paris 14,55,,Bela Vista,Quarto inteiro,1,1,1,1,Tem,Tem,Não tem
Apto ao lado da Av. Rebouças e Av. Faria Lima,151,4.41,Pinheiros,Flat inteiro,2,1,1,1,Tem,Tem,Tem
Apto completo a 30m do metrô Santa Cecília,120,,República,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
🥂Coração de São Paulo 2! Café da manhã  grátis☕️🍪,111,4.73,Bela Vista,Loft inteiro,2,2,1,1,Tem,Tem,Tem
Suíte em aconchegante cobertura,55,5.0,Vila Gumercindo,Quarto inteiro,1,1,1,1,Não tem,Tem,Não tem
Coliving Petit Paris 13,55,4.75,Bela Vista,Quarto inteiro,1,0,1,1,Tem,Tem,Não tem
Apt inteiro Aclimação Sp. Rua Almeida torres. 88,90,4.68,Aclimação,Apartamento inteiro,2,1,1,1,Tem,Tem,Não tem
#410 - Cyclinn Faria Lima Itaim,221,4.89,Itaim Bibi,Apartamento inteiro,4,3,1,1,Não tem,Tem,Tem
Flat 4 Estrelas Jardins,164,4.86,Jardim Paulista,Flat inteiro,4,2,1,1,Tem,Tem,Tem
S130 - Moderno e aconchegante próx. Av Paulista!,127,5.0,Consolacao,Loft inteiro,2,1,0,1,Tem,Tem,Tem
Flat de Luxo em Moema,155,,Indianópolis,Flat inteiro,2,1,1,1,Tem,Tem,Tem
Pacote MENSAL! Flat no Hotel Quality SP Jardins!,115,,Jardim Paulista,Flat inteiro,2,1,1,1,Não tem,Tem,Tem
OFERTA FLAT R. INDIANA,88,,Vila Olímpia,Flat inteiro,2,2,1,1,Tem,Tem,Tem
suíte grande  em vila privativa na Vila Olimpia,65,,Vila Olímpia,Quarto inteiro,3,1,1,2,Tem,Tem,Não tem
⭐ Studio downtown são Paulo,90,4.9,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Flat novo ideal para casais e solteiros (15m2),57,4.78,Bom Retiro,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
Conforto e tranquilidade nos Jardins,95,5.0,Jardim Paulista,Quarto inteiro,2,1,1,1,Tem,Tem,Não tem
300 metros METRO SACOMAN - LINHA VERDE,60,4.96,Vila Firmiano Pinto,Quarto inteiro,2,2,1,1,Tem,Tem,Não tem
APTO 10 MIN PAULISTA,73,5.0,Bela Vista,Quarto inteiro,2,1,1,1,Tem,Tem,Tem
CasApp Studio Novinho no Coração de São Paulo 803,111,4.87,Bela Vista,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Apartamento na Bela Vista 600 mts da Av. Paulista,150,5.0,Bela Vista,Condomínio inteiro,3,1,1,1,Tem,Tem,Tem
"Quarto em apartamento, próximo ao metrô Tatuapé",59,5.0,Tatuapé,Quarto inteiro,3,1,1,1,Tem,Tem,Não tem
Studio Mobiliado com Sacada & Vista Incrível de SP,94,4.8,Bom Retiro,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
Quarto no Campo Belo próx. Congonhas para mulheres,54,5.0,Indianópolis,Quarto inteiro,2,0,1,1,Tem,Tem,Não tem
"Studio Novo próx Av. Paulista, Mackenzie e Metrô.",101,4.82,Bela Vista,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
Studio 509 bairro- Consolação  com metrô próximo.,119,4.98,Consolacao,Loft inteiro,2,1,0,1,Tem,Tem,Tem
CasApp Studio Novinho no Coração de São Paulo 1215,111,4.87,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
402 Sofisticação na melhor Localização de SP402,79,4.59,Vila Buarque,Condomínio inteiro,6,1,1,1,Tem,Tem,Tem
HOSPEDAGEM RODEADA DE ÁREAS VERDES,99,,Vila Uberabinha,Quarto inteiro,2,1,1,1,Não tem,Tem,Tem
Studio Industrial Debruçado sobre SP - Ed. Copan!,291,4.84,República,Apartamento inteiro,3,2,1,1,Tem,Tem,Não tem
"Lindo Estúdio moderno, Metrô Anhangabaú. 9",74,4.88,Bela Vista,Condomínio inteiro,2,1,1,1,Tem,Tem,Tem
Studio fantástico na região do Bela Vista APM1209,112,4.8,Bela Vista,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Flat na Bela Cintra by Atlantica Residence,127,,flat,Quarto,2,1,1,1,Tem,Tem,Tem
⭐ Studio downtown são Paulo,90,4.9,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Luxury Duplex Vila Olimpia,295,5.0,Vila Olímpia,Apartamento inteiro,2,1,1,2,Tem,Tem,Tem
Flat 2 de luxo  Paulista - Ibirapuera,180,4.97,Jardim Paulista,Flat inteiro,4,2,1,1,Tem,Tem,Tem
Flat ao lado da Paulista e Augusta,149,5.0,Consolacao,Flat inteiro,4,1,1,1,Não tem,Tem,Tem
Apto Studio Impecável no melhor do Centro de SP,128,4.6,Bela Vista,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Excelente Apto no Bienal Suites (CASAL),120,4.84,Vila Clementino,Flat inteiro,2,1,1,1,Não tem,Tem,Tem
Flat novo ideal para casais e solteiros (15m2),57,4.78,Bom Retiro,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
Topo do Copan - 32º - Cama King Size - WiFi rápida,227,5.0,República,Apartamento inteiro,2,0,0,1,Tem,Tem,Não tem
CasApp Studio Novinho no Coração de São Paulo 616,113,4.88,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Flat ao lado da Av. Paulista e Hospitais 3° andar,100,4.9,Bela Vista,Flat inteiro,3,3,1,1,Tem,Tem,Não tem
"loft completo, excelente localizaçao",119,,Itaim Bibi,Loft inteiro,4,2,1,1,Tem,Tem,Tem
#1404 - Cyclinn Faria Lima Pinheiros,211,4.97,Pinheiros,Apartamento inteiro,2,1,1,1,Não tem,Tem,Tem
"Studio na Vila Nova Conceição, próx Pq. Ibirapuera",131,,Vila Nova Conceição,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Aconchego e tranquilidade,51,4.75,Consolacao,Loft inteiro,2,2,0,1,Tem,Não tem,Não tem
Metrô/Shopping/Hospitais/Augusta/Paulista/Centro.,130,4.93,Consolacao,Apartamento inteiro,4,2,1,1,Tem,Tem,Tem
Vintage House,55,4.84,Pinheiros,Quarto inteiro,1,1,1,1,Tem,Tem,Não tem
Studio Mobiliado com Sacada & Vista Incrível de SP,94,4.8,Bom Retiro,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
Studio Downtown Luz 1113,96,5.0,Centro,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
Studio completo ao lado da Avenida Paulista,100,4.77,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Apartamento na Bela Vista 600 mts da Av. Paulista,150,5.0,Bela Vista,Condomínio inteiro,3,1,1,1,Tem,Tem,Tem
Apto 5  ideal para 1 pessoa px metrô imigrantes.,54,,Vila Firmiano Pinto,Condomínio inteiro,1,1,0,1,Tem,Tem,Não tem
CasApp Studio Novinho no Coração de São Paulo 103,108,4.63,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Studio coração da V. Olímpia Próx ao Insper Wi-Fi,145,,Vila Olímpia,Loft inteiro,2,1,0,1,Tem,Não tem,Tem
Promoção instantânea mais benefício e menos custo,55,5.0,Itaim Bibi,Quarto inteiro,1,0,1,2,Tem,Tem,Não tem
#1404 - Cyclinn Faria Lima Pinheiros,211,4.97,Pinheiros,Apartamento inteiro,2,1,1,1,Não tem,Tem,Tem
Studio próximo CGH /Studio near city Airport CGH.,109,4.83,Campo Belo,Loft inteiro,2,1,0,1,Tem,Tem,Tem
Super localização no Itaim para se sentir em casa!,90,5.0,Itaim Bibi,Quarto inteiro,1,1,1,1,Tem,Tem,Não tem
Studio Compacto & Mobiliado com Wi-Fi e Smart TV!,91,4.89,Sé,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
Sky Paulicéia - CasApp Centro Histórico SP 414,111,4.8,Centro,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Apto seguro e confortável,89,,Brás,Condomínio inteiro,4,1,1,1,Tem,Não tem,Não tem
Apartamento para 5 pessoas no Centro de São Paulo,79,4.67,República,Loft inteiro,5,3,0,1,Tem,Tem,Tem
Apartamento com vaga em bairro nobre | Itaim Bibi,260,4.95,Itaim Bibi,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Confortável espaço. Próximo ao metrô e hospitais,84,5.0,Liberdade,Apartamento inteiro,3,1,0,1,Tem,Tem,Não tem
Transamerica Executive Chácara Sto. Antônio,120,4.68,Chácara Santo Antônio (Zona Sul),Flat inteiro,2,1,0,1,Tem,Tem,Não tem
Flat novo ideal para casais e solteiros (15m2),57,4.78,Bom Retiro,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
Studio Downtown São Luís -Centro de SP (C/Garagem),128,4.96,República,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Sky Paulicéia - CasApp Centro Histórico SP 510,111,4.82,Centro,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Studio Casal Mobiliado - Butantã,90,,Ferreira,Condomínio inteiro,2,0,1,1,Tem,Tem,Não tem
Freg do Ó /5Mint  Marg/Fácil  acesso Allianz Park,72,4.88,Nossa Senhora do O,Casa inteira,6,2,2,1,Tem,Tem,Não tem
STD 1401. BEM-VINDO AO NOVO CENTRO DE SÃO PAULO!,107,4.75,República,Apartamento inteiro,5,1,1,1,Tem,Tem,Tem
S170 - Novo e aconchegante próximo a Av Paulista!,131,4.95,Consolacao,Loft inteiro,2,2,1,1,Tem,Tem,Tem
Lindo Studio em ótima localização no centro de SP,99,4.69,Consolacao,Apartamento inteiro,5,3,1,1,Tem,Tem,Tem
Vista deslumbrante do Copan e Ed Italia,192,4.91,República,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
BU202 Duplex amplo e encantador em Moema,276,4.84,Vila Uberabinha,Apartamento inteiro,4,2,1,2,Tem,Tem,Tem
Suíte Limpinha & Moderna com Wi-Fi e Portaria 24h!,118,4.73,Consolacao,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
"Studio com Sacada do 24º Andar, Vista & Cama Queen",99,4.7,Sé,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
Lindo Studio com Cozinha Compacta no Centro de SP,82,4.82,Bom Retiro,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
STD 507. APÊ SUPER LINDO LARGO AROUCHE SÃO PAULO,90,4.83,República,Apartamento inteiro,2,0,0,1,Tem,Tem,Tem
CasApp Studio Novinho no Coração de São Paulo 506,106,4.92,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Prox.metro/studio charmoso/na Rua Avanhandava,100,4.56,Consolacao,Apartamento inteiro,3,1,1,1,Tem,Tem,Não tem
Flat próx. metro Paulista e Consolação,107,4.8,Consolacao,Apartamento inteiro,4,3,1,1,Não tem,Tem,Tem
LOFT - AWESOME SÃO PAULO VIEW,237,4.86,Vila Mariana,Loft inteiro,2,1,1,2,Tem,Tem,Tem
Novidade! Apto incrível e completo no Horizonte JK,364,4.89,Vila Olímpia,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
"BP22 Estúdio moderno, incrível cozinha avarandada!",206,4.73,Liberdade,Apartamento inteiro,4,2,1,1,Tem,Tem,Tem
Casa Estúdio Próx Av Paulista,130,4.87,Consolacao,Loft inteiro,2,1,1,1,Tem,Tem,Tem
Studio Descolado na Sé / Liberdade em Sao Paulo,80,,Sé,Apartamento inteiro,2,1,0,1,Tem,Não tem,Tem
AP906 Studio de Cinema na Bela Vista C.Vaga S/Taxa de APP,202,4.98,Bela Vista,Apartamento inteiro,3,2,1,1,Tem,Tem,Não tem
Studio nos Jardins próximo ao metrô,190,4.8,Cerqueira César,Flat inteiro,2,1,1,1,Tem,Tem,Tem
"Downtown flat with one room
Mínimo 3 noites",100,4.51,Bela Vista,Flat inteiro,2,1,1,1,Tem,Tem,Tem
"809The Capital Flat Itaim (pool,gym,sauna & spa)",156,4.33,Itaim Bibi,Flat inteiro,2,2,1,1,Tem,Tem,Tem
FI235 Vista espetacular no Forma Itaim,297,4.75,Itaim Bibi,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Studio Mobiliado com Sacada & Vista Incrível de SP,94,4.8,Bom Retiro,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
Studio Downtown Luz 1113,96,5.0,Centro,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
Studio completo ao lado da Avenida Paulista,100,4.77,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Apartamento na Bela Vista 600 mts da Av. Paulista,150,5.0,Bela Vista,Condomínio inteiro,3,1,1,1,Tem,Tem,Tem
Apto 5  ideal para 1 pessoa px metrô imigrantes.,54,,Vila Firmiano Pinto,Condomínio inteiro,1,1,0,1,Tem,Tem,Não tem
CasApp Studio Novinho no Coração de São Paulo 103,108,4.63,Consolacao,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Studio coração da V. Olímpia Próx ao Insper Wi-Fi,145,,Vila Olímpia,Loft inteiro,2,1,0,1,Tem,Não tem,Tem
Promoção instantânea mais benefício e menos custo,55,5.0,Itaim Bibi,Quarto inteiro,1,0,1,2,Tem,Tem,Não tem
#1404 - Cyclinn Faria Lima Pinheiros,211,4.97,Pinheiros,Apartamento inteiro,2,1,1,1,Não tem,Tem,Tem
Studio próximo CGH /Studio near city Airport CGH.,109,4.83,Campo Belo,Loft inteiro,2,1,0,1,Tem,Tem,Tem
Super localização no Itaim para se sentir em casa!,90,5.0,Itaim Bibi,Quarto inteiro,1,1,1,1,Tem,Tem,Não tem
Studio Compacto & Mobiliado com Wi-Fi e Smart TV!,91,4.89,Sé,Condomínio inteiro,2,1,1,1,Não tem,Tem,Tem
Sky Paulicéia - CasApp Centro Histórico SP 414,111,4.8,Centro,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Apto seguro e confortável,89,,Brás,Condomínio inteiro,4,1,1,1,Tem,Não tem,Não tem
Apartamento para 5 pessoas no Centro de São Paulo,79,4.67,República,Loft inteiro,5,3,0,1,Tem,Tem,Tem
Apartamento com vaga em bairro nobre | Itaim Bibi,260,4.95,Itaim Bibi,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Confortável espaço. Próximo ao metrô e hospitais,84,5.0,Liberdade,Apartamento inteiro,3,1,0,1,Tem,Tem,Não tem
Transamerica Executive Chácara Sto. Antônio,120,4.68,Chácara Santo Antônio (Zona Sul),Flat inteiro,2,1,0,1,Tem,Tem,Não tem
Flat novo ideal para casais e solteiros (15m2),57,4.78,Bom Retiro,Apartamento inteiro,2,1,0,1,Tem,Tem,Tem
Studio Downtown São Luís -Centro de SP (C/Garagem),128,4.96,República,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Sky Paulicéia - CasApp Centro Histórico SP 510,111,4.82,Centro,Apartamento inteiro,2,1,1,1,Tem,Tem,Tem
Studio Casal Mobiliado - Butantã,90,,Ferreira,Condomínio inteiro,2,0,1,1,Tem,Tem,Não tem
Freg do Ó /5Mint  Marg/Fácil  acesso Allianz Park,72,4.88,Nossa Senhora do O,Casa inteira,6,2,2,1,Tem,Tem,Não tem
STD 1401. BEM-VINDO AO NOVO CENTRO DE SÃO PAULO!,107,4.75,República,Apartamento inteiro,5,1,1,1,Tem,Tem,Tem
S170 - Novo e aconchegante próximo a Av Paulista!,131,4.95,Consolacao,Loft inteiro,2,2,1,1,Tem,Tem,Tem
