Título,Preço (R$),Avaliação,Bairro,Imóvel,Características
Studio 714 Setin Downtown São Luís,100,5.0,Consolacao,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Coliving Petit Paris 12,60,4.67,hotel boutique,Quarto,"['2 hóspedes', '1 quarto', '1 cama', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
Premium Flats Berrini / El Original,77,4.0,Brooklin,Flat inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Apartamento Completo 10 min Brás e 25 de março,70,4.42,Campos Elíseos,Apartamento inteiro,"['4 hóspedes', '2 quartos', '3 camas', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Suíte aconchegante aos pés da Av. Paulista,135,4.86,Vila Mariana,Quarto inteiro,"['2 hóspedes', '1 quarto', '2 camas', '1 banheiros privado', 'Wi-Fi']"
"Aeroporto, IBC,Autódromo,Senac, Hotel Transamérica",60,5.0,Vila Sofia,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
Loft simples e aconchegante,93,4.85,Vila Buarque,Loft inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Studio perfeito em São Paulo próximo ao metrô,114,4.83,República,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
STUDIO 606. SEU LUGAR NO CENTRO DE SP,84,4.87,Centro,Loft inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
"Estúdio no Centro com Varanda, Wi-Fi & Smart-TV :)",75,4.82,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Studio inovador em São Paulo próximo ao metrô,115,4.88,Consolacao,Flat inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Flat Boutique na Berrini / Mais Qualidade para VC!,77,4.5,Vila Olímpia,Flat inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
Lindo loft com conforto e charme no centro de SP.,95,4.83,República,Loft inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha']"
Apartamento agradável e bem iluminado. V. Pompéia,111,,Água Branca,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro e meio', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
Studio aconchegante em São Paulo próximo ao metrô,110,4.84,República,Flat inteiro,"['3 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
FIQUE PRÓXIMO AO PARQUE DO IBIRAPUERA,99,,Vila Uberabinha,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi']"
Quarto Privativo Largo do Arouche 6 minutos Metrô.,57,4.93,Campos Elíseos,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro compartilhado', 'Wi-Fi', 'Cozinha']"
#208 - Cyclinn Faria Lima Itaim,182,,Itaim Bibi,Apartamento inteiro,"['4 hóspedes', '1 quarto', '3 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
Quarto de casal c/vista para Parque do Ibirapuera,66,5.0,Paraíso,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '3 banheiros', 'Wi-Fi', 'Cozinha']"
Flat Paulista 540,128,4.76,Jardim Paulista,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
